CannotChangePassword,DisplayName,Enabled,GivenName,HomeDirectory,HomeDrive,Name,SamAccountName,ScriptPath,Surname,UserPrincipalName,password,building
FALSE,TEST888 USR888,TRUE,TEST888,,H:,TEST888,TEST888USR888,,USR888,TEST888USR888@vv.local,Blazers123,larson
FALSE,TEST32 USR32,TRUE,TEST32,,H:,TEST32,TEST32USR32,,USR32,TEST32USR32@vv.local,Blazers123,3rd
FALSE,TEST33 USR33,TRUE,TEST33,,H:,TEST33,TEST33USR33,,USR33,TEST33USR33@vv.local,Blazers123,3rd
FALSE,TEST34 USR34,TRUE,TEST34,,H:,TEST34,TEST34USR34,,USR34,TEST34USR34@vv.local,Blazers123,3rd
FALSE,TEST35 USR35,TRUE,TEST35,,H:,TEST35,TEST35USR35,,USR35,TEST35USR35@vv.local,Blazers123,3rd
FALSE,TEST36 USR36,TRUE,TEST36,,H:,TEST36,TEST36USR36,,USR36,TEST36USR36@vv.local,Blazers123,4th
FALSE,TEST37 USR37,TRUE,TEST37,,H:,TEST37,TEST37USR37,,USR37,TEST37USR37@vv.local,Blazers123,4th
FALSE,TEST38 USR38,TRUE,TEST38,,H:,TEST38,TEST38USR38,,USR38,TEST38USR38@vv.local,Blazers123,4th
FALSE,TEST39 USR39,TRUE,TEST39,,H:,TEST39,TEST39USR39,,USR39,TEST39USR39@vv.local,Blazers123,4th
FALSE,TEST40 USR40,TRUE,TEST40,,H:,TEST40,TEST40USR40,,USR40,TEST40USR40@vv.local,Blazers123,4th
FALSE,TEST41 USR41,TRUE,TEST41,,H:,TEST41,TEST41USR41,,USR41,TEST41USR41@vv.local,Blazers123,5th
FALSE,TEST42 USR42,TRUE,TEST42,,H:,TEST42,TEST42USR42,,USR42,TEST42USR42@vv.local,Blazers123,5th
FALSE,TEST43 USR43,TRUE,TEST43,,H:,TEST43,TEST43USR43,,USR43,TEST43USR43@vv.local,Blazers123,5th
FALSE,TEST44 USR44,TRUE,TEST44,,H:,TEST44,TEST44USR44,,USR44,TEST44USR44@vv.local,Blazers123,5th
FALSE,TEST45 USR45,TRUE,TEST45,,H:,TEST45,TEST45USR45,,USR45,TEST45USR45@vv.local,Blazers123,5th
FALSE,TEST46 USR46,TRUE,TEST46,,H:,TEST46,TEST46USR46,,USR46,TEST46USR46@vv.local,Blazers123,6th
FALSE,TEST47 USR47,TRUE,TEST47,,H:,TEST47,TEST47USR47,,USR47,TEST47USR47@vv.local,Blazers123,6th
FALSE,TEST48 USR48,TRUE,TEST48,,H:,TEST48,TEST48USR48,,USR48,TEST48USR48@vv.local,Blazers123,6th
FALSE,TEST49 USR49,TRUE,TEST49,,H:,TEST49,TEST49USR49,,USR49,TEST49USR49@vv.local,Blazers123,6th
FALSE,TEST50 USR50,TRUE,TEST50,,H:,TEST50,TEST50USR50,,USR50,TEST50USR50@vv.local,Blazers123,6th
FALSE,TEST51 USR51,TRUE,TEST51,,H:,TEST51,TEST51USR51,,USR51,TEST51USR51@vv.local,Blazers123,7th
FALSE,TEST52 USR52,TRUE,TEST52,,H:,TEST52,TEST52USR52,,USR52,TEST52USR52@vv.local,Blazers123,7th
FALSE,TEST53 USR53,TRUE,TEST53,,H:,TEST53,TEST53USR53,,USR53,TEST53USR53@vv.local,Blazers123,7th
FALSE,TEST54 USR54,TRUE,TEST54,,H:,TEST54,TEST54USR54,,USR54,TEST54USR54@vv.local,Blazers123,7th
FALSE,TEST55 USR55,TRUE,TEST55,,H:,TEST55,TEST55USR55,,USR55,TEST55USR55@vv.local,Blazers123,7th
FALSE,TEST56 USR56,TRUE,TEST56,,H:,TEST56,TEST56USR56,,USR56,TEST56USR56@vv.local,Blazers123,8th
FALSE,TEST57 USR57,TRUE,TEST57,,H:,TEST57,TEST57USR57,,USR57,TEST57USR57@vv.local,Blazers123,8th
FALSE,TEST58 USR58,TRUE,TEST58,,H:,TEST58,TEST58USR58,,USR58,TEST58USR58@vv.local,Blazers123,8th
FALSE,TEST59 USR59,TRUE,TEST59,,H:,TEST59,TEST59USR59,,USR59,TEST59USR59@vv.local,Blazers123,8th
FALSE,TEST60 USR60,TRUE,TEST60,,H:,TEST60,TEST60USR60,,USR60,TEST60USR60@vv.local,Blazers123,8th
FALSE,TEST61 USR61,TRUE,TEST61,,H:,TEST61,TEST61USR61,,USR61,TEST61USR61@vv.local,Blazers123,9th
FALSE,TEST62 USR62,TRUE,TEST62,,H:,TEST62,TEST62USR62,,USR62,TEST62USR62@vv.local,Blazers123,9th
FALSE,TEST63 USR63,TRUE,TEST63,,H:,TEST63,TEST63USR63,,USR63,TEST63USR63@vv.local,Blazers123,9th
FALSE,TEST64 USR64,TRUE,TEST64,,H:,TEST64,TEST64USR64,,USR64,TEST64USR64@vv.local,Blazers123,9th
FALSE,TEST65 USR65,TRUE,TEST65,,H:,TEST65,TEST65USR65,,USR65,TEST65USR65@vv.local,Blazers123,9th
FALSE,TEST66 USR66,TRUE,TEST66,,H:,TEST66,TEST66USR66,,USR66,TEST66USR66@vv.local,Blazers123,10th
FALSE,TEST67 USR67,TRUE,TEST67,,H:,TEST67,TEST67USR67,,USR67,TEST67USR67@vv.local,Blazers123,10th
FALSE,TEST68 USR68,TRUE,TEST68,,H:,TEST68,TEST68USR68,,USR68,TEST68USR68@vv.local,Blazers123,10th
FALSE,TEST69 USR69,TRUE,TEST69,,H:,TEST69,TEST69USR69,,USR69,TEST69USR69@vv.local,Blazers123,10th
FALSE,TEST70 USR70,TRUE,TEST70,,H:,TEST70,TEST70USR70,,USR70,TEST70USR70@vv.local,Blazers123,10th
FALSE,TEST71 USR71,TRUE,TEST71,,H:,TEST71,TEST71USR71,,USR71,TEST71USR71@vv.local,Blazers123,11th
FALSE,TEST72 USR72,TRUE,TEST72,,H:,TEST72,TEST72USR72,,USR72,TEST72USR72@vv.local,Blazers123,11th
FALSE,TEST73 USR73,TRUE,TEST73,,H:,TEST73,TEST73USR73,,USR73,TEST73USR73@vv.local,Blazers123,11th
FALSE,TEST74 USR74,TRUE,TEST74,,H:,TEST74,TEST74USR74,,USR74,TEST74USR74@vv.local,Blazers123,11th
FALSE,TEST75 USR75,TRUE,TEST75,,H:,TEST75,TEST75USR75,,USR75,TEST75USR75@vv.local,Blazers123,11th
FALSE,TEST76 USR76,TRUE,TEST76,,H:,TEST76,TEST76USR76,,USR76,TEST76USR76@vv.local,Blazers123,12th
FALSE,TEST77 USR77,TRUE,TEST77,,H:,TEST77,TEST77USR77,,USR77,TEST77USR77@vv.local,Blazers123,12th
